Ulke,Yil,Elektrik_Erisim_%,Temiz_Yakit_Erisim,Yenilenebilir_Kapasite_KisiBasi,Gelismis_Ulkeler_Finansal_Akisi,Yenilenebilir_Enerji_Orani,Fosil_Yakit_Elektrik_TWh,Nukleer_Elektrik_TWh,Yenilenebilir_Elektrik_TWh,Dusuk_Karbon_Elektrik_%,KisiBasi_Enerji_Tuketimi,Enerji_Yoğunluğu,CO2_Emisyonu_kt,Yenilenebilir_Enerji_%,Gdp_Buyume,Gdp_KisiBasi,Nufus_Yogunlugu,Yuzolcumu_Km2,Enlem,Boylam
Argentina,2010,98.82,99.1,239.96,1040000.0,8.79,78.54,6.69,34.41,34.353058,21507.703,3.26,167220.0012,11.661375,10.12539816,10385.96443,17,2780400.0,-38.416097,-63.616672
Argentina,2011,99.09535,99.3,251.14,69260000.0,8.83,84.43,5.89,32.43,31.217922,21894.867,3.18,176639.9994,10.929448,6.003951693,12848.8642,17,2780400.0,-38.416097,-63.616672
Argentina,2012,99.22998,99.5,252.14,256070000.0,8.61,91.86,5.9,30.93,28.619164,22494.715,3.3,177960.0067,10.216426,-1.026420454,13082.66433,17,2780400.0,-38.416097,-63.616672
Argentina,2013,99.342674,99.6,250.97,47820000.0,8.91,91.55,5.73,35.03,30.806438,23152.588,3.31,183250.0,10.950079,2.405323781,13080.25473,17,2780400.0,-38.416097,-63.616672
Argentina,2014,100.0,99.7,248.74,2472850000.0,9.79,92.18,5.26,34.37,30.066004,22881.006,3.4,179600.0061,11.038978,-2.512615321,12334.79825,17,2780400.0,-38.416097,-63.616672
Argentina,2015,99.62539,99.7,247.37,109830000.0,9.4,97.18,6.64,33.97,29.472387,23046.873,3.36,185550.0031,10.907397,2.731159828,13789.06042,17,2780400.0,-38.416097,-63.616672
Argentina,2016,99.84958,99.8,245.23,250160000.0,9.38,100.8,7.82,31.02,27.81438,22726.455,3.41,183160.0037,10.167007,-2.080327844,12790.24247,17,2780400.0,-38.416097,-63.616672
Argentina,2017,100.0,99.8,244.82,503740000.0,10.37,99.4,5.77,33.4,28.267298,22503.818,3.32,179320.0073,10.964719,2.818502978,14613.04182,17,2780400.0,-38.416097,-63.616672
Argentina,2018,99.98958,99.8,259.47,492720000.0,10.52,98.31,6.51,34.97,29.673082,22163.16,3.31,176899.9939,11.39763,-2.617396463,11795.15939,17,2780400.0,-38.416097,-63.616672
Argentina,2019,100.0,99.9,283.38,474460000.0,10.74,90.56,7.97,34.63,31.991589,20725.168,3.35,168100.0061,11.926772,-2.025934237,10056.63794,17,2780400.0,-38.416097,-63.616672
Argentina,2020,100.0,99.9,311.28,,,91.58,10.06,37.05,33.967842,19314.066,,,12.179417,-9.895268964,8579.017773,17,2780400.0,-38.416097,-63.616672
Australia,2000,100.0,100.0,,,8.42,181.05,0.0,17.11,8.634437,68632.96,6.16,339450.0,3.9888778,3.912427733,21697.70848,3,7741220.0,-25.274398,133.775136
Australia,2001,100.0,100.0,,,8.37,194.33,0.0,17.4,8.218014,68338.28,5.91,345640.0,3.870762,2.038300732,19527.32358,3,7741220.0,-25.274398,133.775136
Australia,2002,100.0,100.0,,,8.74,197.29,0.0,17.35,8.0833025,68892.78,5.89,353369.9951,3.9314504,4.014526654,20117.78889,3,7741220.0,-25.274398,133.775136
Australia,2003,100.0,100.0,,,7.15,195.13,0.0,18.5,8.659832,69082.79,5.78,352579.9866,4.014969,3.110325109,23492.40517,3,7741220.0,-25.274398,133.775136
Australia,2004,100.0,100.0,,,6.68,203.66,0.0,19.41,8.701304,70486.32,5.65,365809.9976,4.0365605,4.205446887,30513.94174,3,7741220.0,-25.274398,133.775136
Australia,2005,100.0,100.0,,,6.71,195.95,0.0,19.75,9.156236,69917.164,5.52,370089.9963,4.3135533,3.160338325,34080.9999,3,7741220.0,-25.274398,133.775136
Australia,2006,100.0,100.0,,,6.85,198.72,0.0,21.19,9.63576,71863.76,5.58,375489.9902,4.233413,2.726893446,36117.48798,3,7741220.0,-25.274398,133.775136
Australia,2007,100.0,100.0,,,6.95,208.59,0.0,20.93,9.119031,72304.695,5.52,385750.0,3.9767227,3.768487516,41001.14298,3,7741220.0,-25.274398,133.775136
Australia,2008,100.0,100.0,,,6.79,211.06,0.0,18.49,8.05489,72089.34,5.53,388940.0024,3.6813264,3.577014878,49654.9106,3,7741220.0,-25.274398,133.775136
Australia,2009,100.0,100.0,,,7.15,216.42,0.0,18.32,7.804379,69689.84,5.43,395290.0085,3.9202662,1.86683207,42783.32257,3,7741220.0,-25.274398,133.775136
Australia,2010,100.0,100.0,,,8.16,212.5,0.0,21.13,9.044215,68523.875,5.33,387540.0085,4.3128047,2.172337091,52087.97229,3,7741220.0,-25.274398,133.775136
Australia,2011,100.0,100.0,,,8.32,213.56,0.0,27.33,11.3454275,69714.19,5.23,386380.0049,5.698981,2.469746294,62574.1457,3,7741220.0,-25.274398,133.775136
Australia,2012,100.0,100.0,,,8.29,206.75,0.0,26.63,11.410575,67583.03,4.98,386970.0012,5.700209,3.917362463,68027.84171,3,7741220.0,-25.274398,133.775136
Australia,2013,100.0,100.0,,,9.21,195.78,0.0,34.2,14.870858,67307.04,4.93,380279.9988,6.525869,2.600211881,68156.62792,3,7741220.0,-25.274398,133.775136
Australia,2014,100.0,100.0,,,9.32,205.46,0.0,36.15,14.96213,66744.195,4.78,371630.0049,5.979823,2.562931521,62511.69059,3,7741220.0,-25.274398,133.775136
Australia,2015,100.0,100.0,,,9.31,197.72,0.0,33.12,14.3476,67234.93,4.67,377799.9878,6.290021,2.172204753,56707.02208,3,7741220.0,-25.274398,133.775136
Australia,2016,100.0,100.0,,,9.42,207.66,0.0,38.41,15.609379,66407.09,4.54,384989.9902,7.1891756,2.741643069,49881.76371,3,7741220.0,-25.274398,133.775136
Australia,2017,100.0,100.0,,,9.69,209.14,0.0,40.77,16.313873,65146.316,4.49,389160.0037,6.750127,2.295926947,53934.25018,3,7741220.0,-25.274398,133.775136
Australia,2018,100.0,100.0,,,9.67,207.45,0.0,42.93,17.145937,65072.668,4.39,387070.0073,8.300061,2.87097248,57180.7794,3,7741220.0,-25.274398,133.775136
Australia,2019,100.0,100.0,,,10.13,196.45,0.0,53.41,21.37597,66263.54,4.3,386529.9988,8.880722,2.113149425,54875.28596,3,7741220.0,-25.274398,133.775136
Australia,2020,100.0,100.0,,,,186.92,0.0,63.99,25.503168,61826.21,,,10.789811,-0.003836559,51692.84275,3,7741220.0,-25.274398,133.775136
Brazil,2000,94.391716,89.0,364.68,126500000.0,42.66,28.87,4.94,308.77,91.57278,13400.32,3.88,313670.0,43.288433,4.387949444,3749.910848,25,8515770.0,-14.235004,-51.92528
Brazil,2001,96.016525,89.7,367.36,5290000.0,41.33,35.19,14.27,273.71,89.111,12893.828,3.9,319380.0,39.11162,1.389896404,3160.249345,25,8515770.0,-14.235004,-51.92528
Brazil,2002,96.65299,90.1,374.1,33350000.0,42.85,33.5,13.84,292.95,90.15546,13021.791,3.89,317760.0098,40.756653,3.053461857,2839.491501,25,8515770.0,-14.235004,-51.92528
Brazil,2003,96.980095,90.6,387.32,7530000.0,45.11,31.62,13.4,313.88,91.18975,13111.923,3.91,310809.9976,42.284126,1.140828999,3070.436419,25,8515770.0,-14.235004,-51.92528
Brazil,2004,96.76511,91.1,392.57,1140000.0,45.18,40.14,11.6,329.43,89.46926,13593.7,3.9,328519.989,42.286156,5.759964637,3637.31389,25,8515770.0,-14.235004,-51.92528
Brazil,2005,97.09351,91.6,399.88,11720000.0,46.13,39.56,9.2,346.96,90.00303,13792.465,3.88,331690.0024,43.1457,3.202132062,4790.456566,25,8515770.0,-14.235004,-51.92528
Brazil,2006,97.594315,92.1,412.49,1220000.0,46.67,39.4,12.98,359.55,90.43527,14020.683,3.86,335619.9951,43.045963,3.961988709,5886.391522,25,8515770.0,-14.235004,-51.92528
Brazil,2007,98.12538,92.6,427.18,910000.0,47.19,37.64,11.65,387.88,91.390076,14770.351,3.84,352559.9976,44.380226,6.069870607,7348.187963,25,8515770.0,-14.235004,-51.92528
Brazil,2008,98.52663,93.1,432.21,19530000.0,47.04,55.87,13.21,385.61,87.71251,15255.087,3.86,373630.0049,43.366776,5.094195448,8831.183643,25,8515770.0,-14.235004,-51.92528
Brazil,2009,98.85694,93.6,438.04,174490000.0,48.92,36.32,12.22,410.13,92.08145,15004.24,3.74,350000.0,46.30883,-0.125812003,8597.794335,25,8515770.0,-14.235004,-51.92528
Brazil,2010,98.6,94.0,457.6,135380000.0,46.81,61.02,13.77,435.99,88.053566,16220.931,3.85,397929.9927,44.246536,7.528225818,11286.07154,25,8515770.0,-14.235004,-51.92528
Brazil,2011,99.32869,94.3,470.43,187660000.0,45.26,50.27,14.8,462.32,90.468155,16629.84,3.75,418309.9976,43.91006,3.974423079,13245.38737,25,8515770.0,-14.235004,-51.92528
Brazil,2012,99.51949,94.7,482.3,228480000.0,43.49,77.21,15.17,454.78,85.88896,16963.494,3.82,454230.011,42.06637,1.921175985,12370.22325,25,8515770.0,-14.235004,-51.92528
Brazil,2013,99.57515,95.0,496.6,93260000.0,42.32,112.0,14.65,436.84,80.12387,17221.44,3.88,486839.9963,39.836597,3.00482267,12300.38671,25,8515770.0,-14.235004,-51.92528
Brazil,2014,99.650246,95.2,524.97,489030000.0,41.71,136.58,14.46,430.82,76.527,17519.043,3.98,511619.9951,38.852745,0.50395574,12112.83496,25,8515770.0,-14.235004,-51.92528
Brazil,2015,99.7109,95.4,550.89,2300000.0,43.62,128.85,13.91,428.81,77.456825,17140.15,4.05,485339.9963,40.603523,-3.545763393,8813.989806,25,8515770.0,-14.235004,-51.92528
Brazil,2016,99.7,95.7,588.73,161960000.0,45.46,93.06,14.97,463.37,83.713684,16591.764,4.03,447079.9866,43.5387,-3.275916906,8710.06329,25,8515770.0,-14.235004,-51.92528
Brazil,2017,99.8,95.7,617.89,521620000.0,45.33,101.9,14.86,464.4,82.4661,16608.686,4.05,456489.9902,43.280678,1.322869054,9928.675897,25,8515770.0,-14.235004,-51.92528
Brazil,2018,99.7,95.8,652.03,256430000.0,46.95,86.69,14.79,492.66,85.409164,16539.11,3.93,433989.9902,46.080498,1.783666761,9151.381732,25,8515770.0,-14.235004,-51.92528
Brazil,2019,99.8,95.8,684.92,50980000.0,47.57,90.91,15.16,512.59,85.30534,16681.945,3.93,434299.9878,47.304844,1.411152985,8897.552966,25,8515770.0,-14.235004,-51.92528
Brazil,2020,100.0,95.9,705.9,,,81.15,13.21,520.01,86.79134,15921.327,,,49.47188,-4.059048273,6796.844542,25,8515770.0,-14.235004,-51.92528
Canada,2000,100.0,100.0,,,22.04,155.56,69.16,363.7,73.5631,118875.336,9.31,514220.0,29.767817,4.917762744,24271.00206,4,9984670.0,56.130366,-106.346771
Canada,2001,100.0,100.0,,,21.53,159.93,72.86,339.58,72.05828,115218.68,9.04,506620.0,28.20141,1.405527589,23822.06012,4,9984670.0,56.130366,-106.346771
Canada,2002,100.0,100.0,,,21.77,155.12,71.75,357.06,73.43517,117915.38,8.77,524349.9756,28.546556,3.422146171,24255.33858,4,9984670.0,56.130366,-106.346771
Canada,2003,100.0,100.0,,,21.18,157.35,71.15,343.88,72.50952,117365.12,8.89,544539.978,27.180014,3.811090153,28300.4631,4,9984670.0,56.130366,-106.346771
Canada,2004,100.0,100.0,,,21.58,148.86,85.87,347.68,74.44069,118078.05,8.77,536419.9829,26.827923,3.914028782,32143.68141,4,9984670.0,56.130366,-106.346771
Canada,2005,100.0,100.0,,,21.99,150.78,86.83,368.86,75.1381,117744.77,8.46,549030.0293,28.265476,4.995860869,36382.50792,4,9984670.0,56.130366,-106.346771
Canada,2006,100.0,100.0,,,21.92,139.71,92.44,360.48,76.42542,115946.31,8.25,540530.0293,27.616468,4.165817627,40504.06073,4,9984670.0,56.130366,-106.346771
Canada,2007,100.0,100.0,,,21.84,149.36,88.19,375.42,75.63339,119158.6,7.71,571630.0049,27.694315,6.868608857,44659.89514,4,9984670.0,56.130366,-106.346771
Canada,2008,100.0,100.0,,,21.91,141.33,88.3,385.21,77.01353,116479.15,7.44,550469.9707,28.590092,1.007622695,46710.50558,4,9984670.0,56.130366,-106.346771
Canada,2009,100.0,100.0,,,22.5,129.76,85.13,380.24,78.19636,110665.805,7.37,521320.0073,29.20945,-2.928400167,40876.31015,4,9984670.0,56.130366,-106.346771
Canada,2010,100.0,100.0,,,21.88,130.08,85.53,366.21,77.64257,110485.93,7.16,537010.0098,27.789688,3.08949462,47562.08343,4,9984670.0,56.130366,-106.346771
Canada,2011,100.0,100.0,,,21.84,131.3,88.29,391.95,78.52962,113449.32,7.09,549289.978,28.62637,3.146881372,52223.69611,4,9984670.0,56.130366,-106.346771
Canada,2012,100.0,100.0,,,22.17,124.2,89.49,398.58,79.71483,112586.7,7.03,546210.022,28.976913,1.762222549,52669.08996,4,9984670.0,56.130366,-106.346771
Canada,2013,100.0,100.0,,,22.44,122.87,97.58,417.28,80.73323,114051.086,7.01,555659.9731,28.941828,2.329122506,52635.17496,4,9984670.0,56.130366,-106.346771
Canada,2014,100.0,100.0,,,22.49,122.75,101.21,412.13,80.702415,113198.414,6.99,561679.9927,28.14776,2.870036075,50955.99832,4,9984670.0,56.130366,-106.346771
Canada,2015,100.0,100.0,,,22.69,125.7,96.05,417.2,80.327095,112891.76,6.91,558700.0122,28.764147,0.659176864,43596.13554,4,9984670.0,56.130366,-106.346771
Canada,2016,100.0,100.0,,,22.05,122.35,95.69,426.84,81.02748,110180.79,7.1,556830.0171,29.6526,1.001394414,42315.60371,4,9984670.0,56.130366,-106.346771
Canada,2017,100.0,100.0,,,22.47,113.7,95.57,435.43,82.36389,110509.586,7.17,568080.0171,29.67364,3.039880225,45129.35644,4,9984670.0,56.130366,-106.346771
Canada,2018,100.0,100.0,,,21.99,112.47,95.03,428.39,82.31297,110059.28,7.1,580090.0269,28.814518,2.777040554,46548.52036,4,9984670.0,56.130366,-106.346771
Canada,2019,100.0,100.0,,,22.11,110.65,95.47,421.8,82.378334,107980.76,6.94,580210.022,28.586376,1.879592028,46338.34096,4,9984670.0,56.130366,-106.346771
Canada,2020,100.0,100.0,,,,102.19,92.65,429.24,83.625496,100497.28,,,30.54215,-5.233024303,43294.64816,4,9984670.0,56.130366,-106.346771
China,2000,97.0218,42.0,58.78,243620000.0,29.63,1113.3,16.74,225.56,17.874004,9334.936,10.85,3346530.0,5.656925,8.490093406,959.3724836,153,9596960.0,35.86166,104.195397
China,2001,97.27279,42.3,61.01,325050000.0,28.36,1182.59,17.47,280.73,20.1379,9797.812,10.36,3529080.0,6.618624,8.335733478,1053.108243,153,9596960.0,35.86166,104.195397
China,2002,97.516205,43.1,63.68,218270000.0,27.0,1337.46,25.13,291.41,19.137848,10602.087,10.12,3810060.059,6.2804885,9.13363079,1148.50829,153,9596960.0,35.86166,104.195397
China,2003,97.75438,43.4,70.24,22510000.0,23.86,1579.96,43.34,287.28,17.304693,12273.32,10.48,4415910.156,5.3011093,10.03803048,1288.643252,153,9596960.0,35.86166,104.195397
China,2004,97.98967,44.9,77.85,32680000.0,20.17,1795.41,50.47,357.43,18.513056,14272.745,10.83,5124819.824,5.60094,10.11362138,1508.668098,153,9596960.0,35.86166,104.195397
China,2005,98.22443,46.3,86.43,155060000.0,17.44,2042.8,53.09,404.37,18.296497,16114.158,10.72,5824629.883,5.554481,11.39459181,1753.417829,153,9596960.0,35.86166,104.195397
China,2006,98.46105,47.7,96.27,127720000.0,16.39,2364.16,54.84,446.72,17.50206,17552.816,10.41,6437470.215,5.5779824,12.72095567,2099.229435,153,9596960.0,35.86166,104.195397
China,2007,98.7022,49.4,109.0,24770000.0,14.88,2718.7,62.13,500.71,17.151705,18955.008,9.81,6993180.176,5.718535,14.23086093,2693.970063,153,9596960.0,35.86166,104.195397
China,2008,98.95058,51.1,128.8,142770000.0,14.14,2762.29,68.39,665.08,20.981703,19560.7,9.18,7199600.098,7.268667,9.65067892,3468.304602,153,9596960.0,35.86166,104.195397
China,2009,99.2089,53.5,150.78,58540000.0,13.43,2980.2,70.05,664.39,19.7715,20281.068,8.95,7719069.824,6.9355316,9.398725632,3832.236432,153,9596960.0,35.86166,104.195397
China,2010,99.7,55.6,170.41,131240000.0,12.26,3326.19,74.74,786.38,20.564993,21551.547,8.93,8474919.922,7.615998,10.63587106,4550.453108,153,9596960.0,35.86166,104.195397
China,2011,99.848724,58.0,194.62,43040000.0,11.34,3811.77,87.2,792.38,18.748974,23090.885,8.75,9282549.805,7.084204,9.550832179,5614.352135,153,9596960.0,35.86166,104.195397
China,2012,99.96193,60.7,218.25,100650000.0,11.53,3869.38,98.32,999.56,22.102327,23873.234,8.41,9541870.117,8.522597,7.863736449,6300.615118,153,9596960.0,35.86166,104.195397
China,2013,99.996445,63.2,258.3,301710000.0,11.45,4203.77,111.5,1093.37,22.276764,24600.36,8.05,9984570.313,8.959421,7.766150098,7020.338485,153,9596960.0,35.86166,104.195397
China,2014,100.0,66.0,296.29,229420000.0,11.94,4345.86,133.22,1289.23,24.659735,25072.023,7.69,10006669.92,10.19733,7.425763656,7636.116601,153,9596960.0,35.86166,104.195397
China,2015,100.0,68.4,340.55,92000000.0,12.18,4222.76,171.38,1393.66,27.040327,25209.49,7.21,9861099.609,10.787498,7.041328879,8016.431435,153,9596960.0,35.86166,104.195397
China,2016,100.0,70.6,382.59,1245180000.0,12.56,4355.0,213.18,1522.79,28.500713,25164.803,6.71,9874660.156,11.530947,6.848762205,8094.363367,153,9596960.0,35.86166,104.195397
China,2017,100.0,73.2,436.9,372490000.0,13.13,4643.1,248.1,1667.06,29.20226,25987.611,6.51,10096009.77,12.138821,6.947200793,8816.986905,153,9596960.0,35.86166,104.195397
China,2018,100.0,75.6,487.16,318260000.0,13.71,4990.28,295.0,1835.32,29.917704,27109.42,6.39,10502929.69,12.807393,6.749773832,9905.342004,153,9596960.0,35.86166,104.195397
China,2019,100.0,77.6,529.28,201540000.0,14.45,5098.22,348.7,2014.57,31.672895,28277.445,6.31,10707219.73,13.51596,5.949714233,10143.83817,153,9596960.0,35.86166,104.195397
China,2020,100.0,79.4,621.74,,,5184.13,366.2,2184.94,32.980618,29133.936,,,14.242872,2.347513573,10434.77519,153,9596960.0,35.86166,104.195397
France,2000,100.0,100.0,,,9.32,50.61,415.16,67.83,90.51537,52966.594,4.36,373120.0,6.7445607,3.923669227,22364.02939,119,643801.0,46.227638,2.213749
France,2001,100.0,100.0,,,9.46,46.48,421.08,76.09,91.45038,53298.86,4.42,376730.0,7.405367,1.983721419,22433.55498,119,643801.0,46.227638,2.213749
France,2002,100.0,100.0,,,8.73,52.67,436.76,62.69,90.46041,52433.27,4.38,371019.989,6.175621,1.135531482,24177.33556,119,643801.0,46.227638,2.213749
France,2003,100.0,100.0,,,8.91,57.38,441.07,61.47,89.75211,52657.883,4.45,376709.9915,5.962182,0.823160757,29568.3888,119,643801.0,46.227638,2.213749
France,2004,100.0,100.0,,,8.95,56.53,448.24,62.42,90.033325,52754.13,4.39,377790.0085,5.970315,2.829752929,33741.26192,119,643801.0,46.227638,2.213749
France,2005,100.0,100.0,,,8.66,63.35,451.53,54.98,88.88324,52097.117,4.34,380660.0037,5.365334,1.66321998,34760.18502,119,643801.0,46.227638,2.213749
France,2006,100.0,100.0,,,8.52,56.9,450.19,60.91,89.98239,51332.477,4.17,371549.9878,5.969732,2.449323601,36443.62631,119,643801.0,46.227638,2.213749
France,2007,100.0,100.0,,,9.46,58.18,439.73,64.3,89.65155,50095.92,4.02,362829.9866,6.6387134,2.424736243,41508.43269,119,643801.0,46.227638,2.213749
France,2008,100.0,100.0,,,10.6,55.57,439.45,72.33,90.205345,49932.984,4.03,357989.9902,7.6322675,0.25494596,45334.11796,119,643801.0,46.227638,2.213749
France,2009,100.0,100.0,,,11.32,51.32,409.74,68.15,90.30252,46864.53,3.97,343730.011,7.70645,-2.873313828,41575.42196,119,643801.0,46.227638,2.213749
France,2010,100.0,100.0,,,11.99,57.63,428.52,76.68,89.76067,48006.33,4.02,347779.9988,8.220292,1.949437623,40638.33525,119,643801.0,46.227638,2.213749
France,2011,100.0,100.0,,,10.66,58.99,442.39,66.02,89.60345,45914.77,3.85,335140.0146,7.185518,2.192700633,43790.72602,119,643801.0,46.227638,2.213749
France,2012,100.0,100.0,,,12.34,56.42,425.41,85.25,90.05078,45681.15,3.84,338420.0134,9.137363,0.313134751,40874.70039,119,643801.0,46.227638,2.213749
France,2013,100.0,100.0,,,13.42,53.35,423.68,99.42,90.74507,45921.207,3.83,338559.9976,10.4594345,0.576326675,42592.93539,119,643801.0,46.227638,2.213749
France,2014,100.0,100.0,,,13.2,35.68,436.48,94.03,93.69823,43808.914,3.65,306100.0061,10.459279,0.956183052,43011.2631,119,643801.0,46.227638,2.213749
France,2015,100.0,100.0,,,13.34,44.65,437.43,91.84,92.22017,43929.527,3.66,311299.9878,10.147399,1.112912341,36638.18493,119,643801.0,46.227638,2.213749
France,2016,100.0,100.0,,,14.24,56.45,403.2,99.0,89.89528,43053.95,3.56,313920.0134,10.975246,1.095464404,37037.37419,119,643801.0,46.227638,2.213749
France,2017,100.0,100.0,,,14.12,65.09,398.36,92.63,88.294846,42633.387,3.47,317829.9866,10.437264,2.291419994,38685.25849,119,643801.0,46.227638,2.213749
France,2018,100.0,100.0,,,15.21,49.27,412.94,113.62,91.44365,43334.203,3.4,307049.9878,12.132495,1.865066071,41572.48501,119,643801.0,46.227638,2.213749
France,2019,100.0,100.0,,,15.53,53.5,399.01,113.21,90.54302,42326.785,3.29,300519.989,12.384905,1.842971814,40578.64429,119,643801.0,46.227638,2.213749
France,2020,100.0,100.0,,,,48.14,353.83,125.28,90.869606,38063.406,,,14.788747,-7.855256037,39030.36037,119,643801.0,46.227638,2.213749
Germany,2000,100.0,100.0,,,3.7,367.22,169.61,35.47,35.834354,48903.7,4.0,830280.0,2.8871117,2.912502964,23635.92922,240,357022.0,51.165691,10.451526
Germany,2001,100.0,100.0,,,3.9,372.69,171.3,37.9,35.951813,49841.387,4.05,847680.0,2.9411676,1.681468481,23607.88286,240,357022.0,51.165691,10.451526
Germany,2002,100.0,100.0,,,4.41,372.64,164.84,44.48,35.968105,49257.79,3.97,833380.0049,3.538632,-0.197973835,25077.72908,240,357022.0,51.165691,10.451526
Germany,2003,100.0,100.0,,,5.44,390.81,165.06,46.67,35.139576,49300.902,3.99,836789.978,3.6419897,-0.700116686,30243.57653,240,357022.0,51.165691,10.451526
Germany,2004,100.0,100.0,,,6.34,385.24,167.07,57.97,36.874874,49342.406,3.97,821070.0073,4.5165977,1.175088132,34044.05363,240,357022.0,51.165691,10.451526
Germany,2005,100.0,100.0,,,7.28,386.96,163.05,63.4,36.916584,48793.566,3.92,802380.0049,5.2084193,0.731707164,34507.36881,240,357022.0,51.165691,10.451526
Germany,2006,100.0,100.0,,,8.59,390.03,167.27,72.51,38.0718,50043.03,3.89,814409.9731,6.0263047,3.816441913,36323.44774,240,357022.0,51.165691,10.451526
Germany,2007,100.0,100.0,,,10.47,402.4,140.53,89.38,36.36033,47958.13,3.58,783799.9878,7.6538334,2.976455131,41587.2129,240,357022.0,51.165691,10.451526
Germany,2008,100.0,100.0,,,10.25,390.43,148.49,94.28,38.340176,48445.984,3.59,789690.0024,7.8176284,0.959879134,45427.15168,240,357022.0,51.165691,10.451526
Germany,2009,100.0,100.0,,,10.72,358.07,134.93,95.94,39.200935,45436.277,3.56,734809.9976,8.45428,-5.693836336,41485.90165,240,357022.0,51.165691,10.451526
Germany,2010,100.0,100.0,,,11.61,378.9,140.56,105.18,39.34106,47305.82,3.6,773070.0073,8.792469,4.179882499,41531.9342,240,357022.0,51.165691,10.451526
Germany,2011,100.0,100.0,,,12.54,373.16,107.97,124.04,38.33799,45571.504,3.28,746479.9805,10.566965,3.925192705,46644.77603,240,357022.0,51.165691,10.451526
Germany,2012,100.0,100.0,,,13.64,377.89,99.46,143.04,39.088314,46132.67,3.29,760130.0049,11.899699,0.418497594,43858.36306,240,357022.0,51.165691,10.451526
Germany,2013,100.0,100.0,,,13.63,381.52,97.29,152.34,39.55161,47361.547,3.35,776150.0244,12.063335,0.437591303,46285.76407,240,357022.0,51.165691,10.451526
Germany,2014,100.0,100.0,,,14.02,360.28,97.13,162.54,41.88564,45327.562,3.13,736010.0098,13.278847,2.209543431,47959.99327,240,357022.0,51.165691,10.451526
Germany,2015,100.0,100.0,,,14.55,359.99,91.79,188.79,43.80161,46066.887,3.1,742309.9976,14.823544,1.491931528,41086.72967,240,357022.0,51.165691,10.451526
Germany,2016,100.0,100.0,,,14.24,368.67,84.63,189.67,42.6614,46675.777,3.04,747150.0244,14.607312,2.229999868,42107.51727,240,357022.0,51.165691,10.451526
Germany,2017,100.0,100.0,,,15.22,353.37,76.32,216.32,45.29961,47112.9,2.98,732200.0122,16.196213,2.680231114,44542.2952,240,357022.0,51.165691,10.451526
Germany,2018,100.0,100.0,,,16.12,334.65,76.0,222.07,47.109306,45781.406,2.87,707700.0122,17.084951,1.086024514,47950.18081,240,357022.0,51.165691,10.451526
Germany,2019,100.0,100.0,,,17.17,284.09,75.07,240.33,52.611385,44467.746,2.76,657400.0244,18.768305,1.055508247,46794.89929,240,357022.0,51.165691,10.451526
